Information listing created by	Afonso Araújo
Date	25-Nov-2023 17:19:00
Current work part	C:\Users\Afonso\Documents\MATLAB\MComp\Projeto MComp\teste_fem1.fem
Node name	DESKTOP-5AECOVI


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  1                    | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 20 23 22 19
  2                    | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 21 18 19 22
  3                    | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 21 22 12 13
  4                    | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 25 178 179 5
  5                    | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 6 7 20 24
  6                    | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 6 24 25 5
  7                    | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 29 204 182 14
  8                    | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 29 14 15 28
  9                    | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 17 193 205 26
  10                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 27 28 15 16
  11                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 27 16 17 26
  12                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 26 205 178 25
  13                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 30 31 27 26
  14                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 30 26 25 24
  15                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 30 24 20 19
  16                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 28 27 31 33
  17                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 32 29 28 33
  18                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 183 184 34 36
  19                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 37 15 14 38
  20                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 14 182 183 38
  21                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 37 38 183 36
  22                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 40 35 191 192
  23                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 17 16 39 41
  24                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 39 40 192 41
  25                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 17 41 192 193
  26                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 39 16 15 37
  27                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 36 34 35 40
  28                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 36 40 39 37
  29                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 44 195 207 188
  30                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 44 188 189 42
  31                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 45 187 206 194
  32                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 45 194 195 44
  33                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 43 186 187 45
  34                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 43 45 44 42
  35                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 34 184 185 46
  36                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 47 190 191 35
  37                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 47 35 34 46
  38                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 42 189 190 47
  39                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 46 185 186 43
  40                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 46 43 42 47
  41                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 49 160 200 170
  42                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 171 202 174 48
  43                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 171 48 49 170
  44                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 52 9 10 51
  45                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 11 158 159 50
  46                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 11 50 51 10
  47                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 53 175 176 13
  48                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 53 13 12 52
  49                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 54 48 174 175
  50                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 49 48 54 55
  51                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 50 159 160 49
  52                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 50 49 55 51
  53                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 56 57 61 62
  54                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 8 62 61 60
  55                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 61 57 58 63
  56                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 61 63 59 60
  57                   | CQUAD4         | 2d_mesh(1)     | Thin Shell(1)  | 163 164 64 69
