Information listing created by	Afonso Araújo
Date	07-Dec-2023 00:41:54
Current work part	C:\Users\Afonso\Documents\MATLAB\MComp\Projeto MComp\comsimetria_fem1.fem
Node name	DESKTOP-5AECOVI


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  1                    | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 26 25 799 800 242 243 801 244
  2                    | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 26 800 981 811 244 802 827 245
  3                    | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 15 16 25 26 246 247 242 248
  4                    | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 15 26 811 812 248 245 828 249
  5                    | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 782 980 792 27 783 803 250 251
  6                    | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 28 24 780 781 252 253 784 254
  7                    | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 28 781 782 27 254 785 251 255
  8                    | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 27 792 793 29 250 804 256 257
  9                    | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 30 23 24 28 258 259 252 260
  10                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 30 28 27 29 260 255 257 261
  11                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 31 798 799 25 262 805 243 263
  12                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 31 25 16 17 263 247 264 265
  13                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 29 793 794 32 256 806 266 267
  14                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 33 22 23 30 268 269 258 270
  15                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 33 30 29 32 270 261 267 271
  16                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 31 17 18 34 265 272 273 274
  17                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 36 797 798 31 275 807 262 276
  18                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 36 31 34 35 276 274 277 278
  19                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 34 18 19 37 273 279 280 281
  20                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 35 34 37 38 277 281 282 283
  21                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 39 796 797 36 284 808 275 285
  22                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 39 36 35 38 285 278 283 286
  23                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 40 32 794 795 287 266 809 288
  24                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 40 795 796 39 288 810 284 289
  25                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 43 32 40 41 290 287 291 292
  26                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 43 41 42 44 292 293 294 295
  27                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 42 20 21 44 296 297 298 294
  28                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 37 19 20 42 280 299 296 300
  29                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 41 40 39 38 291 289 286 301
  30                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 41 38 37 42 301 282 300 293
  31                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 51 47 9 10 302 303 304 305
  32                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 51 10 11 48 305 306 307 308
  33                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 52 46 47 51 309 310 302 311
  34                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 52 51 48 49 311 308 312 313
  35                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 53 50 22 21 314 315 316 317
  36                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 53 21 20 45 317 297 318 319
  37                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 52 49 50 53 313 320 314 321
  38                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 52 53 45 46 321 319 322 309
  39                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 48 11 12 54 307 323 324 325
  40                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 49 48 54 55 312 325 326 327
  41                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 56 23 22 50 328 269 315 329
  42                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 56 50 49 55 329 320 327 330
  43                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 57 779 780 24 331 786 253 332
