Information listing created by	joaol
Date	06-Dec-2023 23:43:36
Current work part	C:\Users\joaol\OneDrive - Universidade de Lisboa\Ambiente de Trabalho\Ficheiros NX\Malha simétrica\Malha base Q4 eixo\Modelo\model1base_fem1.fem
Node name	DESKTOP-FSDCSN1


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  17                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 269 270 17 16 272 92 93 94
  18                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 270 271 18 17 273 95 96 92
  19                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 271 324 316 18 274 317 97 95
  20                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 18 316 326 301 97 318 308 98
  21                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 17 18 301 302 96 98 309 99
  22                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 16 17 302 303 93 99 310 100
  23                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 21 268 269 16 101 275 94 102
  24                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 21 16 303 304 102 100 311 103
  25                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 22 267 268 21 104 276 101 105
  26                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 22 21 304 305 105 103 312 106
  27                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 266 267 22 23 277 104 107 108
  29                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 20 265 266 25 113 278 114 111
  30                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 24 25 266 23 112 114 108 115
  31                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 305 306 23 22 313 116 107 106
  32                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 306 307 24 23 314 117 115 116
  54                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 38 235 236 39 154 246 156 157
  55                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 39 236 321 218 156 247 222 158
  56                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 39 218 219 40 158 223 159 160
  57                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 40 219 220 41 159 224 161 162
  58                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 41 220 221 42 161 225 163 164
  59                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 42 221 319 209 163 226 213 165
  60                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 42 209 210 43 165 214 166 167
  61                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 43 210 211 44 166 215 168 169
  62                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 44 211 212 45 168 216 170 171
  63                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 45 212 320 253 170 217 285 172
  64                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 45 253 254 46 172 286 173 174
  65                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 46 254 255 47 173 287 175 176
  66                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 47 255 256 48 175 288 177 178
  67                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 48 256 257 49 177 289 179 180
  70                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 54 41 42 43 183 164 167 184
  71                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 54 43 44 50 184 169 185 186
  72                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 60 58 53 56 187 188 189 190
  74                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 49 60 56 48 192 190 193 180
  75                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 50 44 45 46 185 171 174 194
  76                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 51 50 46 47 195 194 176 196
  77                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 56 53 52 57 189 197 198 199
  78                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 56 57 47 48 199 200 178 193
  83                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 55 51 47 57 203 196 200 204
  84                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 38 39 40 52 157 160 205 206
  85                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 53 58 38 52 188 155 206 197
  86                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 40 55 57 52 207 204 198 205
  87                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 55 40 41 54 207 162 183 208
  88                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 54 50 51 55 186 195 203 208
  90                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 328 20 25 24 522 111 112 523
  91                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 1074 1079 327 329 1075 524 525 526
  92                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 327 328 24 329 527 523 528 525
  93                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 1074 329 24 307 526 528 117 1076
  94                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 348 49 257 1004 529 179 1026 530
  95                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 347 60 49 348 531 192 529 532
  96                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 964 235 38 58 965 154 155 533
  97                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 349 58 60 347 534 187 531 535
  98                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 349 347 345 346 535 536 537 538
  99                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 963 964 58 349 966 533 534 539
  100                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 963 349 346 962 539 538 540 967
  101                  | CQUAD8         | 2d_mesh(1)     | Thin Shell(3)  | 345 344 350 353 541 542 543 544
