titulo: Q4base
tipo de elemento: QUAD4
parametro da fronteira: 0.85
coordenadas dos nos
230
1 0.5249 0.7200
2 0.5249 0.5399
3 0.5250 0.3598
4 0.5250 0.1799
5 0.3500 0.1799
6 0.1751 0.1799
7 0.1750 0.3600
8 0.1750 0.5400
9 0.1750 0.7200
10 0.3499 0.7200
11 0.3499 0.5399
12 0.3500 0.3599
13 0.0000 0.1800
14 0.0000 0.3600
15 0.0000 0.5400
16 0.0000 0.7200
17 0.5250 0.0000
18 0.3500 0.0000
19 0.1750 0.0000
20 0.1750 0.9000
21 0.3500 0.9000
22 0.5250 0.9000
23 0.7000 0.1800
24 0.7000 0.3600
25 0.7000 0.5400
26 0.7000 0.7200
27 0.0000 0.0000
28 0.0000 0.9000
29 0.7000 0.0000
30 0.7000 0.9000
31 3.6000 0.7500
32 3.0570 0.7496
33 2.8714 0.7479
34 2.6857 0.7398
35 3.2422 0.7499
36 3.4255 0.7500
37 2.5000 0.7000
38 3.6143 0.6000
39 3.4286 0.6000
40 3.2429 0.6000
41 3.0571 0.6000
42 2.8714 0.6000
43 2.6857 0.6000
44 2.6857 0.9000
45 2.8714 0.9000
46 3.0571 0.9000
47 3.2429 0.9000
48 3.4286 0.9000
49 3.6143 0.9000
50 3.8000 0.7500
51 2.5000 0.9000
52 2.5000 0.6000
53 3.8000 0.6000
54 3.8000 0.9000
55 1.0040 0.3480
56 0.9680 0.2080
57 0.8328 0.2585
58 0.9777 0.2813
59 0.8260 0.3612
60 0.9194 0.3561
61 0.9117 0.2810
62 1.1509 0.6220
63 1.1355 0.7056
64 1.1229 0.7996
65 1.2184 0.7130
66 1.2242 0.6438
67 1.2120 0.8030
68 1.0769 0.5941
69 0.9907 0.5743
70 0.8518 0.6323
71 0.8289 0.7598
72 1.0313 0.7917
73 0.9565 0.6687
74 1.0497 0.6897
75 0.9347 0.7796
76 0.9554 0.4893
77 0.9345 0.4315
78 0.9108 0.5399
79 0.8496 0.4637
80 1.0183 0.4953
81 1.0109 0.4244
82 0.9243 0.0830
83 0.8356 0.1059
84 0.9459 0.1548
85 0.9208 0.2220
86 0.8811 0.1843
87 0.9118 0.0000
88 0.8235 0.0000
89 0.8313 0.9000
90 0.9250 0.9000
91 1.0188 0.9000
92 1.1125 0.9000
93 1.2063 0.9000
94 1.2298 0.5833
95 1.1707 0.5414
96 1.1239 0.4859
97 1.0873 0.4232
98 1.0587 0.3565
99 1.0366 0.2873
100 1.0202 0.2166
101 1.0089 0.1449
102 1.0022 0.0726
103 1.3000 0.6500
104 1.3000 0.8000
105 1.0000 0.0000
106 1.3000 0.9000
107 1.3000 0.6000
108 1.3000 0.7000
109 1.5910 0.3480
110 1.6270 0.2080
111 1.6653 0.1163
112 1.8055 0.3535
113 1.7069 0.3475
114 1.6081 0.8132
115 1.6150 0.7287
116 1.6162 0.6425
117 1.6161 0.5507
118 1.6218 0.4543
119 1.5130 0.5636
120 1.4266 0.6166
121 1.3629 0.6413
122 1.3780 0.7026
123 1.4074 0.7934
124 1.5117 0.8116
125 1.5275 0.7348
126 1.5250 0.6555
127 1.4452 0.6786
128 1.4562 0.7397
129 1.7047 0.8122
130 1.8021 0.8110
131 1.8038 0.7218
132 1.8047 0.6320
133 1.8052 0.5409
134 1.8055 0.4482
135 1.7113 0.4486
136 1.7107 0.5438
137 1.7100 0.6356
138 1.7083 0.7246
139 1.8095 0.2579
140 1.7188 0.2407
141 1.8154 0.1664
142 1.8176 0.0807
143 1.7360 0.1484
144 1.7482 0.0704
145 1.5600 0.3952
146 1.5544 0.4662
147 1.5962 0.0954
148 1.5845 0.1901
149 1.5644 0.2834
150 1.5345 0.3740
151 1.4936 0.4583
152 1.4449 0.5255
153 1.3953 0.5690
154 1.3476 0.5924
155 1.4000 0.9000
156 1.5000 0.9000
157 1.6000 0.9000
158 1.7000 0.9000
159 1.8000 0.9000
160 1.8000 0.0000
161 1.7000 0.0000
162 1.9000 0.0900
163 1.9000 0.1800
164 1.9000 0.2700
165 1.9000 0.3600
166 1.9000 0.4500
167 1.9000 0.5400
168 1.9000 0.6300
169 1.9000 0.7200
170 1.9000 0.8100
171 1.6000 0.0000
172 1.9000 0.9000
173 1.9000 0.0000
174 2.1420 0.1060
175 2.2510 0.4790
176 2.1509 0.5165
177 2.0650 0.5296
178 1.9824 0.5357
179 2.1506 0.6246
180 2.1501 0.7187
181 2.1589 0.8075
182 2.4025 0.6469
183 2.2235 0.7232
184 2.2393 0.8032
185 2.3713 0.7312
186 2.3125 0.7860
187 2.2322 0.6358
188 2.3295 0.5906
189 2.3058 0.6734
190 2.0739 0.8085
191 1.9868 0.8092
192 2.0689 0.7177
193 1.9848 0.7185
194 1.9837 0.6273
195 2.0670 0.6249
196 2.0652 0.1393
197 1.9864 0.1640
198 1.9970 0.2611
199 1.9809 0.3583
200 1.9803 0.4464
201 2.0578 0.4421
202 2.1342 0.4302
203 2.2095 0.4104
